会う	友達に会う	친구를 만나다
店	店で買う	가게에서 사다
見せる	写真を見せる	사진을 보여주다
道	道を歩く	길을 걷다
三日	三日目	3일째
緑	緑の木	녹색 나무
皆さん	皆さん、こんにちは	여러분, 안녕하세요
南	南へ行く	남쪽으로 가다
耳	耳が聞こえる	귀가 들린다
見る	映画を見る	영화를 보다
みんな	みんな来た	모두 왔다
六日	六日目	6일째
難しい	難しい問題	어려운 문제
六つ	六つのりんご	여섯 개의 사과
村	村に住む	마을에 살다
目	目が痛い	눈이 아프다
メートル	100メートル	100미터
眼鏡	眼鏡をかける	안경을 쓰다
もう	もう ご飯を 食べました。	이미 밥을 먹었습니다.
もう一度	もう一度言う	다시 말하다
木曜日	木曜日に会う	목요일에 만나다
持つ	荷物を持つ	짐을 들다
もっと	もっと食べる	더 먹다
物	物を買う	물건을 사다
門	門を開ける	문을 열다
野菜	野菜を食べる	야채를 먹다
易しい	易しい問題	쉬운 문제
安い	安い服	싼 옷
休み	休みを取る	휴가를 내다
休む	家で休む	집에서 쉬다
八つ	八つのりんご	여덟 개의 사과
山	山に登る	산에 오르다
やる	仕事をやる	일을 하다
夕方	夕方に会う	저녁에 만나다
夕飯	夕飯を食べる	저녁밥을 먹다
郵便局	郵便局に行く	우체국에 가다
昨夜	昨夜会った	지난 밤 만났다
有名	有名な人	유명한 사람
雪	雪が降る	눈이 내리다
ゆっくりと	ゆっくりと歩く	천천히 걷다
八日	八日目	8일째
洋服	洋服を着る	서양식 옷을 입다
よく	よく来る	자주 온다
横	横に座る	옆에 앉다
四日	四日目	4일째
呼ぶ	名前を呼ぶ	이름을 부르다
読む	本を読む	책을 읽다
夜	夜に会う	밤에 만나다
弱い	弱い風	약한 바람
来月	来月会う	다음 달 만나다
来週	来週来る	다음 주 온다
ラジオ	ラジオを聞く	라디오를 듣다
料理	料理を作る	요리를 만들다
旅行	旅行に行く	여행을 가다
冷蔵庫	冷蔵庫に入れる	냉장고에 넣다
レストラン	レストランで食べる	레스토랑에서 먹다
練習	練習をする	연습을 하다
六	六個	여섯 개
ワイシャツ	ワイシャツを着る	셔츠를 입다
若い	若い人	젊은 사람
分かる	答えが分かる	답을 알다
忘れる	名前を忘れる	이름을 잊다
私	私が行く	제가 가겠습니다
渡す	本を渡す	책을 건네주다
渡る	橋を渡る	다리를 건너다
悪い	悪い天気	나쁜 날씨
聞く	音楽を聞く	음악을 듣다
昨日	昨日は雨でした	어제는 비였습니다
今日	今日は暑いです	오늘은 덥습니다
買う	本を買う	책을 사다
書く	名前を書く	이름을 쓰다
借りる	図書館で本を借りる	도서관에서 책을 빌리다
返す	友達に本を返す	친구에게 책을 돌려주다
教える	先生が日本語を教える	선생님이 일본어를 가르치다
帰る	家に帰る	집에 돌아가다
起きる	毎朝六時に起きる	매일 아침 여섯 시에 일어나다
多い	人が多い	사람이 많다
遅い	電車が遅い	전철이 늦다
重い	このかばんは重い	이 가방은 무겁다
軽い	この荷物は軽い	이 짐은 가볍다
暗い	この部屋は暗い	이 방은 어둡다
面白い	この映画は面白い	이 영화는 재미있다
もうすぐ	もうすぐ雨が降る	곧 비가 오다
たいてい	たいてい家で勉強する	대개 집에서 공부하다
だいたい	だいたい分かる	대략 알다
切符	切符を買う	표를 사다
お金	お金がない	돈이 없다
家族	家族と住んでいる	가족과 살다
場所	ここはいい場所だ。	여기는 좋은 장소다.
何	それは何ですか。	그것은 무엇입니까?
この	この本はおもしろいです。	이 책은 재미있습니다.
あの	あの店は有名です。	저 가게는 유명합니다.
その	そのかばんはだれのですか。	그 가방은 누구의 것입니까?
そして	パンを食べました。そして、牛乳を飲みました。	빵을 먹었다. 그리고 우유를 마셨다.
時	学生のとき、日本へ行きました。	학생 때 일본에 갔다.
から	雨ですから、行きません。	비가 와서 가지 않는다.
少し	日本語がすこし分かります。	일본어를 조금 안다.
ください	水をください。	물 주세요.
どうやって	どうやって駅へ行きますか。	어떻게 역에 갑니까?
